seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
0,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7437336485805749,0.397042506455095
1,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.6669490457758257,0.4196813914975728
3,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.6625478805432266,0.4087528196290083
4,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.6943055914658087,0.4069054158293536
45,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.6929894179894179,0.4112409327182836
2,bernoulli,54,none,1.0,1.0,pca,none,,54,30.0,20,2,0.7786316881228348,0.3614390847232226
38,bernoulli,54,none,1.0,1.0,pca,none,,54,30.0,20,2,0.6868861626647094,0.3981066433374047
12,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7090415954157843,0.3982162048035785
7,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7078240740740741,0.3819429876800653
5,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.6505049245154018,0.4152621578421029
24,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.719510934101856,0.4216744688063618
8,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.6789308176100629,0.4004721395741292
9,bernoulli,54,none,1.0,1.0,pca,none,,54,30.0,20,2,0.6944605708756653,0.3969377077679037
36,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.6802990871759997,0.4172973766720256
20,bernoulli,54,none,1.0,1.0,pca,none,,54,30.0,20,2,0.73352922247485,0.3657851732345907
14,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7440362984296038,0.3738835125333183
48,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7289939001335922,0.3826849588736248
44,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.6846419232206035,0.3840180895451118
28,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.687727720951999,0.4202556968793001
16,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.703190106336878,0.4016129235696843
32,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.675435799319728,0.3887140835793893
25,bernoulli,54,none,1.0,1.0,pca,none,,54,31.0,20,2,0.764638821630347,0.3815869546437813
40,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.6932493037352556,0.3928402267721683
11,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7074598183088748,0.3968046426360151
6,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7348153255786065,0.3980879278603934
13,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7277893536382501,0.4065744315001222
31,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7473580627219442,0.3730200313476758
17,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7022406433840225,0.3902738900554753
18,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.695088984576683,0.3932683390459645
21,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.6815150371209261,0.3854709492509726
33,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.6502824276408016,0.4169493570598874
23,bernoulli,54,none,1.0,1.0,pca,none,,54,30.0,20,2,0.7310290606254732,0.391959922994658
10,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7385224875335634,0.3888057688976796
37,bernoulli,54,none,1.0,1.0,pca,none,,54,30.0,20,2,0.6983811534798989,0.3998532853176522
19,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7185452746165264,0.3776904391247466
35,bernoulli,54,none,1.0,1.0,pca,none,,54,30.0,20,2,0.7293072035608446,0.381025620392564
49,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.6969075206522906,0.3980810403433733
15,bernoulli,54,none,1.0,1.0,pca,none,,54,31.0,20,2,0.7738775159653762,0.3722148824655301
42,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7609761660394572,0.3808941556259341
34,bernoulli,54,none,1.0,1.0,pca,none,,54,30.0,20,2,0.7123917244912216,0.3936023919889603
41,bernoulli,54,none,1.0,1.0,pca,none,,54,30.0,20,2,0.736780523477254,0.3641838632745408
46,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7279767987954721,0.3934630673064571
29,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7296663296258847,0.3870696200407807
22,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7191747107610817,0.4080516041162645
47,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.6846002181391055,0.391877322243315
30,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.6544251982075147,0.3972283697523272
26,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.6776382762130981,0.4205210115351885
27,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7260205103553259,0.3902797126590073
43,bernoulli,54,none,1.0,1.0,pca,none,,54,31.0,20,2,0.733014741708497,0.3937540992644534
39,bernoulli,54,none,1.0,1.0,pca,none,,54,29.0,20,2,0.7626109175377467,0.38873867438521753
