seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
0,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7274228538000294,0.2899298542582748
20,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.7537388625417407,0.2429150221440728
1,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6563837227992892,0.3051956780623225
2,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.7884874470724093,0.2230629218720914
28,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6940203402861345,0.3013360987096112
3,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6599472692199272,0.3007459000461002
40,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.665716128768021,0.3025031775906656
25,beta,54,none,1.0,1.0,pca,none,,54,31.0,10,0.7638182674199622,0.2560607903609442
29,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6967896865520727,0.2943710210049356
6,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6997798639782091,0.2910112726282913
5,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6497403773305985,0.2934236935992319
45,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6782248200801219,0.295574426297045
4,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6907528704262307,0.2908190248767024
16,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6869256753002878,0.288040079895936
8,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6849606918238994,0.2787773128137853
12,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6900982979060735,0.296166842756736
32,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6856514344868383,0.2829083849186826
9,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.7065856313497823,0.2901860516495786
24,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6899825214479178,0.2938604263974056
36,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6722922606125599,0.2985482744274062
44,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6902806161689412,0.2774568112375474
10,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7248453682393556,0.2797186541121916
48,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6945718750787689,0.2955900164907903
33,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6474931969984332,0.3091680157037351
7,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7189772727272726,0.2703122557931138
18,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6955302304114744,0.2800127604889193
23,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.7254324151185139,0.2634785826699621
19,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7081890153389412,0.2766940202868904
21,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6427883642172874,0.2858580093163507
13,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7385613349110802,0.2727098865819361
14,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7159272038979153,0.2781527901813479
46,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7128870443038469,0.2834167464038483
17,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6976342317433729,0.2814061208382606
11,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.671938815125398,0.2918872198042334
41,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.7187726621773972,0.2816031675786441
34,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.6891561495831975,0.2960534523790816
42,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7692113451607123,0.2656526130460518
49,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6639309087007832,0.2854460850170701
27,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6985698834274726,0.2756156137602564
31,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7490106105335216,0.2745815729688752
30,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.670273181661496,0.2861141420073188
38,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.6779011069668509,0.302649996904127
37,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.7014058525050948,0.2845008974890807
15,beta,54,none,1.0,1.0,pca,none,,54,31.0,10,0.7810366298793316,0.2373406575260768
35,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.731898848029889,0.2535027599156262
26,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6888064133016627,0.2916658932244172
22,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7270786869250071,0.2963968366375932
39,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.745835075493612,0.2893001764919324
47,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7000617261754942,0.2957116598210297
43,beta,54,none,1.0,1.0,pca,none,,54,31.0,10,0.741606517625463,0.2517351493963236
