seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
16,beta,54,none,1.0,1.0,pca,54,0.7493144044321329,0.244509517447384
4,beta,54,none,1.0,1.0,pca,54,0.7334049275497656,0.2414918028825426
8,beta,54,none,1.0,1.0,pca,54,0.7169400288480126,0.2424561564024958
0,beta,54,none,1.0,1.0,pca,54,0.7770226490619285,0.2496918104871521
12,beta,54,none,1.0,1.0,pca,54,0.661462639109698,0.2549846197379931
20,beta,54,none,1.0,1.0,pca,54,0.766848127814447,0.2457560765712338
32,beta,54,none,1.0,1.0,pca,54,0.7061604416255579,0.249926541384139
44,beta,54,none,1.0,1.0,pca,54,0.7315753253253253,0.22851259278462
28,beta,54,none,1.0,1.0,pca,54,0.7410827824992132,0.2589017370840185
40,beta,54,none,1.0,1.0,pca,54,0.7342227095516569,0.2499118515418176
36,beta,54,none,1.0,1.0,pca,54,0.7210191364299288,0.2422566853423559
24,beta,54,none,1.0,1.0,pca,54,0.729035150645624,0.2639991989105525
48,beta,54,none,1.0,1.0,pca,54,0.7228828762183054,0.24243260870334
7,beta,54,none,1.0,1.0,pca,54,0.7686677946622399,0.2247445156061563
6,beta,54,none,1.0,1.0,pca,54,0.7133320178900289,0.2598274989044007
30,beta,54,none,1.0,1.0,pca,54,0.7090306424293507,0.2450081936283564
15,beta,54,none,1.0,1.0,pca,54,0.800498263626755,0.236269864869432
5,beta,54,none,1.0,1.0,pca,54,0.6845387817542621,0.2493869148362251
19,beta,54,none,1.0,1.0,pca,54,0.756302483946087,0.2370705803772058
31,beta,54,none,1.0,1.0,pca,54,0.763193541395752,0.2266956875097904
14,beta,54,none,1.0,1.0,pca,54,0.7796395959054881,0.2340033604684216
17,beta,54,none,1.0,1.0,pca,54,0.7216694081980393,0.2411332256215343
13,beta,54,none,1.0,1.0,pca,54,0.7561708817121267,0.225478547201287
1,beta,54,none,1.0,1.0,pca,54,0.7058213603227406,0.2605117179336476
9,beta,54,none,1.0,1.0,pca,54,0.7500380067567567,0.243556154639774
18,beta,54,none,1.0,1.0,pca,54,0.7285665294924554,0.236052431130187
3,beta,54,none,1.0,1.0,pca,54,0.6833637007032178,0.2557973131228835
21,beta,54,none,1.0,1.0,pca,54,0.6337630352975622,0.2470313482507538
11,beta,54,none,1.0,1.0,pca,54,0.6959805295375766,0.2505485060721709
2,beta,54,none,1.0,1.0,pca,54,0.7898302938196555,0.2223273072693845
10,beta,54,none,1.0,1.0,pca,54,0.7681075460487224,0.2395709343825484
26,beta,54,none,1.0,1.0,pca,54,0.7054030067503967,0.2526314497826977
22,beta,54,none,1.0,1.0,pca,54,0.8000349871489509,0.2437878692382596
25,beta,54,none,1.0,1.0,pca,54,0.7845503279725635,0.2470782131695962
23,beta,54,none,1.0,1.0,pca,54,0.7304554188534227,0.25542787755712
38,beta,54,none,1.0,1.0,pca,54,0.6954773340549155,0.2708168743096321
46,beta,54,none,1.0,1.0,pca,54,0.7174999999999999,0.2477311430244783
43,beta,54,none,1.0,1.0,pca,54,0.7712431339690646,0.2477314512957868
27,beta,54,none,1.0,1.0,pca,54,0.7373039914468995,0.238519143341934
39,beta,54,none,1.0,1.0,pca,54,0.8123033855790684,0.2482778119952902
34,beta,54,none,1.0,1.0,pca,54,0.7345191040843215,0.248988511871357
35,beta,54,none,1.0,1.0,pca,54,0.7623052060914005,0.2441959242181658
45,beta,54,none,1.0,1.0,pca,54,0.699066723463579,0.2619778219129102
37,beta,54,none,1.0,1.0,pca,54,0.7278705327818561,0.2406156197490677
47,beta,54,none,1.0,1.0,pca,54,0.7496862819659664,0.2337520187591647
42,beta,54,none,1.0,1.0,pca,54,0.793118897540477,0.2222713774756279
41,beta,54,none,1.0,1.0,pca,54,0.7317825777355803,0.2391359524923103
29,beta,54,none,1.0,1.0,pca,54,0.6854020732015645,0.2638616091168905
49,beta,54,none,1.0,1.0,pca,54,0.6934848484848485,0.2414747409509339
33,beta,54,none,1.0,1.0,pca,54,0.6693824919317659,0.2792581918244021
