seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
0,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.7111872146118721,0.2928269360952076
17,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6580220465471809,0.2868786877663137
1,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6284477403154827,0.3123001055354509
2,beta,54,none,1.0,1.0,raw,none,,54,30.0,10,2,0.7349236559599674,0.2342730300334448
8,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6821265723270441,0.2777248101928032
5,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6290837444795535,0.3019294497546514
3,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6131196833942261,0.3108969221043431
12,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6568236639751766,0.3033630488367502
24,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6978478698848551,0.2914667281527213
28,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6784830859740607,0.3070427390125703
4,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6721776935083839,0.293084248981902
44,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.665818445513877,0.2841970300790059
9,beta,54,none,1.0,1.0,raw,none,,54,30.0,10,2,0.6609458151910982,0.2974876682346256
20,beta,54,none,1.0,1.0,raw,none,,54,30.0,10,2,0.7450610087411573,0.2473858563603179
11,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6510249242953645,0.2918743674089654
6,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6832610967399311,0.2908918258225022
7,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6949158249158249,0.2751892923058046
48,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6523643283845436,0.2999159516377858
40,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6415798042267367,0.3036826632668599
16,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6893979799326645,0.2863449377975965
13,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.7249318310438855,0.2730502247093266
32,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6351809745637385,0.2897452976381726
36,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.7058431198179583,0.2917745410588727
14,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6975832744661197,0.2795221847121853
21,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.5903047909793688,0.2915020915474948
25,beta,54,none,1.0,1.0,raw,none,,54,31.0,10,2,0.7768563357546409,0.2523381743390854
33,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6283623319864764,0.308343955235052
15,beta,54,none,1.0,1.0,raw,none,,54,31.0,10,2,0.7523879049623028,0.2473788389425612
27,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6549893842887473,0.2852067641365309
37,beta,54,none,1.0,1.0,raw,none,,54,30.0,10,2,0.6320033858227871,0.29627954848724
22,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6725392911904098,0.3047384561819823
45,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6248697051928802,0.3014602057739997
26,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6777909738717339,0.2940305415187639
41,beta,54,none,1.0,1.0,raw,none,,54,30.0,10,2,0.6796672659130382,0.2837352226417342
10,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.7301575885436645,0.2787831657291677
18,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.7001100578691377,0.2818000897551218
39,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6884343786295005,0.2970759564928854
23,beta,54,none,1.0,1.0,raw,none,,54,30.0,10,2,0.6899831110593443,0.2675746444141642
29,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6461223458038422,0.300817066388609
49,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6996547733995433,0.2778708593392076
19,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6922958931222168,0.27908091432021
31,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.691053780002567,0.286147029380303
35,beta,54,none,1.0,1.0,raw,none,,54,30.0,10,2,0.720160053504918,0.2533385459202594
47,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.674643126820323,0.2994317459488354
43,beta,54,none,1.0,1.0,raw,none,,54,31.0,10,2,0.7274483586960216,0.2491081168616669
38,beta,54,none,1.0,1.0,raw,none,,54,30.0,10,2,0.6293982833775221,0.3074571465660923
30,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.689671664943123,0.2791503041487288
34,beta,54,none,1.0,1.0,raw,none,,54,30.0,10,2,0.6569994877287757,0.303133891653628
46,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.6741182528104351,0.287372650053912
42,beta,54,none,1.0,1.0,raw,none,,54,29.0,10,2,0.7172262678591793,0.2731562394056066
