seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
1,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6279894172998475,0.3216065458562397
0,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6743955052893288,0.3066651887227463
2,beta,54,none,1.0,1.0,raw,none,,54,30.0,5,0.723568281938326,0.241804096317459
7,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6812584175084174,0.2866576267335377
4,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6391330786099381,0.3080933050060918
3,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.5820532945682875,0.3232052600431382
8,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.5956780660377359,0.2946888969728078
12,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6231554986806791,0.316677707032104
20,beta,54,none,1.0,1.0,raw,none,,54,30.0,5,0.7122407853853336,0.2598441155959245
28,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6469092626019521,0.3196407111971914
24,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6595518285767655,0.3010747022993008
48,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6193853502381972,0.313691312251817
40,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6310820773263434,0.3113700584783676
32,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.5876959479443952,0.3065842619199516
36,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.7108322653205346,0.2941029528320135
16,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.7080402680089335,0.2910990243496363
44,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.636886632825719,0.2928494528432029
5,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.5863892122623205,0.3198967189004346
17,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6386338180240361,0.2966582360212713
9,beta,54,none,1.0,1.0,raw,none,,54,30.0,5,0.6143595791001452,0.3210920176030039
29,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6269261880687563,0.311616363537308
10,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.7063794591484465,0.2867240395954534
19,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6539782285997031,0.2968029637526783
14,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.648580847325617,0.2939192041100632
18,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.7082249237963371,0.2887154377238328
38,beta,54,none,1.0,1.0,raw,none,,54,30.0,5,0.6032345201895374,0.3277866344593367
21,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.5891367264650046,0.30416127759697
26,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6620122158126909,0.3037248099246817
37,beta,54,none,1.0,1.0,raw,none,,54,30.0,5,0.5925465895655934,0.3190882594314548
6,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6691706782245216,0.3043772144550393
11,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6126640267101483,0.3074205163443375
46,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6214494121685403,0.304902636551272
13,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.7279115432765687,0.2769021965301022
31,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6797105634706713,0.2930318764387694
23,beta,54,none,1.0,1.0,raw,none,,54,30.0,5,0.6580047754935647,0.2839351663890332
45,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6275811566220548,0.3136912291222099
33,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6264121382040075,0.3165115251951195
27,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6452689981172135,0.2921554976292559
15,beta,54,none,1.0,1.0,raw,none,,54,31.0,5,0.7024428099062016,0.2632665414974786
30,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6379459669079628,0.2912593563361542
49,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6616932579275674,0.2924052477671953
39,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6504367015098721,0.3131675147510683
43,beta,54,none,1.0,1.0,raw,none,,54,31.0,5,0.6588671206644534,0.2682073531802322
47,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6633376481727854,0.3116244448317545
41,beta,54,none,1.0,1.0,raw,none,,54,30.0,5,0.6769005758859197,0.2972302068596448
42,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6701000276949644,0.2900864661938956
25,beta,54,none,1.0,1.0,raw,none,,54,31.0,5,0.7221818670971214,0.2646540257613483
34,beta,54,none,1.0,1.0,raw,none,,54,30.0,5,0.6359177804684953,0.3137751550583026
35,beta,54,none,1.0,1.0,raw,none,,54,30.0,5,0.6393808881355151,0.2734602646207076
22,beta,54,none,1.0,1.0,raw,none,,54,29.0,5,0.6529808161416225,0.31780761459931756
