seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
20,beta,54,none,1.0,1.0,raw,54,0.7448761643328603,0.2556470761874472
8,beta,54,none,1.0,1.0,raw,54,0.6170723728233877,0.2611869989752271
12,beta,54,none,1.0,1.0,raw,54,0.6288394276629571,0.2762181854268171
4,beta,54,none,1.0,1.0,raw,54,0.6924366935923176,0.2584830436107302
0,beta,54,none,1.0,1.0,raw,54,0.7036183784250767,0.2718475163478753
16,beta,54,none,1.0,1.0,raw,54,0.7704362880886426,0.249774242332412
24,beta,54,none,1.0,1.0,raw,54,0.6965506934481109,0.2663663168592387
28,beta,54,none,1.0,1.0,raw,54,0.6737456720176267,0.2834897136857303
48,beta,54,none,1.0,1.0,raw,54,0.6349152040835199,0.2665204913499122
32,beta,54,none,1.0,1.0,raw,54,0.595674351488305,0.2765783574789885
40,beta,54,none,1.0,1.0,raw,54,0.6832184628237259,0.2681383130296361
36,beta,54,none,1.0,1.0,raw,54,0.7839380680897453,0.2341938669908547
44,beta,54,none,1.0,1.0,raw,54,0.6467807092807093,0.2564947087985836
21,beta,54,none,1.0,1.0,raw,54,0.5841535560205637,0.2748597621970295
22,beta,54,none,1.0,1.0,raw,54,0.7035982937036588,0.2755962172550382
17,beta,54,none,1.0,1.0,raw,54,0.6696073586144324,0.2577892061749827
2,beta,54,none,1.0,1.0,raw,54,0.7621461816109422,0.2343153400783221
26,beta,54,none,1.0,1.0,raw,54,0.7227496436543582,0.2563924841059302
9,beta,54,none,1.0,1.0,raw,54,0.6278378378378379,0.2796830794981375
1,beta,54,none,1.0,1.0,raw,54,0.6688512987472574,0.2832333778796887
23,beta,54,none,1.0,1.0,raw,54,0.6934598067050963,0.2757521751790099
14,beta,54,none,1.0,1.0,raw,54,0.6703214844698141,0.2624834191671485
18,beta,54,none,1.0,1.0,raw,54,0.7469544059050233,0.2466388070489912
6,beta,54,none,1.0,1.0,raw,54,0.7259832938700344,0.2601620223862674
10,beta,54,none,1.0,1.0,raw,54,0.786798128342246,0.243131283002243
42,beta,54,none,1.0,1.0,raw,54,0.7056219873934,0.2427763241314694
41,beta,54,none,1.0,1.0,raw,54,0.719340928870955,0.2578231057962186
39,beta,54,none,1.0,1.0,raw,54,0.7025319087016172,0.276974916340636
49,beta,54,none,1.0,1.0,raw,54,0.6774469696969697,0.2518898936333754
5,beta,54,none,1.0,1.0,raw,54,0.5912728182045511,0.2903440394069078
46,beta,54,none,1.0,1.0,raw,54,0.6322234848484848,0.2670698977873504
19,beta,54,none,1.0,1.0,raw,54,0.7034612941923646,0.2566220223058497
13,beta,54,none,1.0,1.0,raw,54,0.7512686505419345,0.2282925519554164
37,beta,54,none,1.0,1.0,raw,54,0.6188815984177511,0.2769193760548684
3,beta,54,none,1.0,1.0,raw,54,0.5896414642593625,0.2847721831687664
38,beta,54,none,1.0,1.0,raw,54,0.630162882119046,0.2995965589346075
33,beta,54,none,1.0,1.0,raw,54,0.6511461214845551,0.2899568229217885
31,beta,54,none,1.0,1.0,raw,54,0.6821945889322352,0.2548859402402531
47,beta,54,none,1.0,1.0,raw,54,0.7151440250974428,0.2561660123051253
11,beta,54,none,1.0,1.0,raw,54,0.6366214322590162,0.2680256713601525
7,beta,54,none,1.0,1.0,raw,54,0.7457700166006895,0.2437360615902112
35,beta,54,none,1.0,1.0,raw,54,0.6408396014999223,0.2653944333139841
34,beta,54,none,1.0,1.0,raw,54,0.6718469277757816,0.2665539513857329
30,beta,54,none,1.0,1.0,raw,54,0.6661790568193792,0.2508347106707789
43,beta,54,none,1.0,1.0,raw,54,0.6596909122345024,0.2734075529865588
45,beta,54,none,1.0,1.0,raw,54,0.6329499541752185,0.2832204616107254
15,beta,54,none,1.0,1.0,raw,54,0.7189755397855957,0.2631011437408977
27,beta,54,none,1.0,1.0,raw,54,0.682057792824899,0.2526939648686503
25,beta,54,none,1.0,1.0,raw,54,0.7475576865448007,0.2554923037948742
29,beta,54,none,1.0,1.0,raw,54,0.634862207944794,0.2864980352227844
