seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,beta,1,max,1.0,1.0,pca,max,0.7770016190257778,0.3959453470284996
13,beta,1,max,1.0,1.0,pca,max,0.8070911570014074,0.3833738804015088
16,beta,1,max,1.0,1.0,pca,max,0.8104362320738028,0.3773058688655422
12,beta,1,max,1.0,1.0,pca,max,0.810354609443705,0.3735587916656849
36,beta,1,max,1.0,1.0,pca,max,0.7421579892280072,0.409361568987717
32,beta,1,max,1.0,1.0,pca,max,0.7298968065820666,0.4086885805385532
4,beta,1,max,1.0,1.0,pca,max,0.7576606226196391,0.4001558685598823
44,beta,1,max,1.0,1.0,pca,max,0.761240897029792,0.3931401154018411
24,beta,1,max,1.0,1.0,pca,max,0.750291028980788,0.3961593724051235
20,beta,1,max,1.0,1.0,pca,max,0.7718847745819712,0.3786157694044358
40,beta,1,max,1.0,1.0,pca,max,0.7857385031100235,0.3800308213784789
28,beta,1,max,1.0,1.0,pca,max,0.7887286456167966,0.3936034330938906
8,beta,1,max,1.0,1.0,pca,max,0.7866647537966837,0.3860990780656108
48,beta,1,max,1.0,1.0,pca,max,0.6902142088910134,0.4277818383485838
1,beta,1,max,1.0,1.0,pca,max,0.7871519930141772,0.3892159033157829
43,beta,1,max,1.0,1.0,pca,max,0.78023502656076,0.3912937352839338
2,beta,1,max,1.0,1.0,pca,max,0.7821224277447804,0.3810971227154887
45,beta,1,max,1.0,1.0,pca,max,0.7961208617372224,0.3752058576763069
5,beta,1,max,1.0,1.0,pca,max,0.8068986264459832,0.3607374776502803
27,beta,1,max,1.0,1.0,pca,max,0.7320474946028861,0.4168872031065733
11,beta,1,max,1.0,1.0,pca,max,0.797970212863365,0.3906109807359779
15,beta,1,max,1.0,1.0,pca,max,0.7815253797341597,0.3941521097557205
41,beta,1,max,1.0,1.0,pca,max,0.7943069583702148,0.3884379003742146
47,beta,1,max,1.0,1.0,pca,max,0.835134223568731,0.3585470031985416
19,beta,1,max,1.0,1.0,pca,max,0.7757095227598368,0.3860845856947128
14,beta,1,max,1.0,1.0,pca,max,0.7110182630403363,0.4158484969435407
38,beta,1,max,1.0,1.0,pca,max,0.7726033218826361,0.3836880422334495
10,beta,1,max,1.0,1.0,pca,max,0.786866331769358,0.3838977805334066
30,beta,1,max,1.0,1.0,pca,max,0.7635838330834581,0.4113889245348707
3,beta,1,max,1.0,1.0,pca,max,0.772735210921166,0.3907056343777596
6,beta,1,max,1.0,1.0,pca,max,0.7489421984438596,0.4036789193488351
7,beta,1,max,1.0,1.0,pca,max,0.8309740296495263,0.3638730100369595
9,beta,1,max,1.0,1.0,pca,max,0.7921271491890312,0.383113586977656
35,beta,1,max,1.0,1.0,pca,max,0.8250674649334478,0.3698440389305698
39,beta,1,max,1.0,1.0,pca,max,0.7992759846370381,0.3678704667092354
31,beta,1,max,1.0,1.0,pca,max,0.8189725282298564,0.3613125153340137
37,beta,1,max,1.0,1.0,pca,max,0.7972767576048473,0.3850566131595038
23,beta,1,max,1.0,1.0,pca,max,0.7817221246029362,0.3809020972132314
49,beta,1,max,1.0,1.0,pca,max,0.7766180063905771,0.4012363898265578
18,beta,1,max,1.0,1.0,pca,max,0.8127303317520861,0.3816218056231145
34,beta,1,max,1.0,1.0,pca,max,0.7823928805257159,0.3859097466934
26,beta,1,max,1.0,1.0,pca,max,0.745542770735213,0.4034969691111902
22,beta,1,max,1.0,1.0,pca,max,0.7691602848976744,0.397797332048987
29,beta,1,max,1.0,1.0,pca,max,0.800232332307804,0.3823618864209475
25,beta,1,max,1.0,1.0,pca,max,0.7444519927536231,0.4035208990706975
46,beta,1,max,1.0,1.0,pca,max,0.7921794816559435,0.3874089987865701
17,beta,1,max,1.0,1.0,pca,max,0.7812064471879288,0.3981533346168964
21,beta,1,max,1.0,1.0,pca,max,0.7563681696867538,0.3969389465959173
42,beta,1,max,1.0,1.0,pca,max,0.7783116890752624,0.3942141060814559
33,beta,1,max,1.0,1.0,pca,max,0.7948588085524035,0.3848771838813514
