n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,0,0.002,94,0.6317880131795887,0.2083333333333333,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.620250940322876, 3.598679304122925, 3.635618209838867, 3.623297929763794, 3.6477017402648926, 3.617469072341919, 3.5787136554718018, 3.5963306427001953, 3.54915189743042, 3.629204034805298, 3.66064715385437, 3.6882948875427246, 3.5747969150543213, 3.670271873474121, 3.591963052749634, 3.6026437282562256, 3.592180013656616, 3.6373579502105713, 3.6098039150238037, 3.6388325691223145, 3.661956548690796, 3.6308767795562744, 3.5793211460113525, 3.6308562755584717, 3.5678491592407227, 3.6309335231781006, 3.6688220500946045, 3.571774959564209, 3.590550422668457, 3.6519174575805664]",raw,Pre-4
1,beta,1,0.002,94,0.5917899757713301,0.3749999999999999,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.5085394382476807, 3.3651132583618164, 3.4899091720581055, 3.380882978439331, 3.5507290363311768, 3.4454140663146973, 3.35978102684021, 3.372411012649536, 3.4953653812408447, 3.315936803817749, 3.3578076362609863, 3.64892840385437, 3.4102609157562256, 3.3191978931427, 3.318013906478882, 3.3755791187286377, 3.545316696166992, 3.3238821029663086, 3.3408401012420654, 3.5074007511138916, 3.3605732917785645, 3.500325918197632, 3.3541293144226074, 3.4081649780273438, 3.5610835552215576, 3.5434675216674805, 3.369615316390991, 3.3609957695007324, 3.5338807106018066, 3.5089850425720215]",raw,Pre-4
1,beta,14,0.002,94,0.5081439477125635,0.5416666666666666,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.4094693660736084, 3.4554226398468018, 3.382277250289917, 3.419015645980835, 3.422173261642456, 3.36140775680542, 3.5028607845306396, 3.5114710330963135, 3.4036781787872314, 3.4379994869232178, 3.4873623847961426, 3.337397336959839, 3.478740692138672, 3.445634603500366, 3.5174548625946045, 3.3878865242004395, 3.507751226425171, 3.4023592472076416, 3.3990821838378906, 3.389868974685669, 3.366323709487915, 3.4048008918762207, 3.4206814765930176, 3.4407410621643066, 3.4462080001831055, 3.381554126739502, 3.407132148742676, 3.459160804748535, 3.4315097332000732, 3.4975125789642334]",raw,Pre-4
1,beta,2,0.01,94,0.4595592550948865,0.6875,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.126430034637451, 3.087616205215454, 3.121239185333252, 3.15279221534729, 3.0904698371887207, 3.137366771697998, 3.1403512954711914, 3.0805039405822754, 3.1139092445373535, 3.121091842651367, 3.152517318725586, 3.128063917160034, 3.17155385017395, 3.152714490890503, 3.1048123836517334, 3.1326022148132324, 3.0811307430267334, 3.1661009788513184, 3.1465718746185303, 3.179949998855591, 3.1273844242095947, 3.139272928237915, 3.115183115005493, 3.1214327812194824, 3.1130034923553467, 3.130338668823242, 3.160475730895996, 3.1123697757720947, 3.1446449756622314, 3.1547911167144775]",raw,Pre-4
1,beta,15,0.002,94,0.4396131266611295,0.25,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.1626718044281006, 3.05891752243042, 3.2427964210510254, 3.2483601570129395, 3.1443653106689453, 3.2052769660949707, 3.154042959213257, 3.146825075149536, 3.2730822563171387, 3.203317165374756, 3.2020204067230225, 3.269115924835205, 3.1424734592437744, 3.354900360107422, 3.2963764667510986, 3.2518599033355713, 3.0782859325408936, 3.2133548259735107, 3.1398439407348633, 3.0697104930877686, 3.0854156017303467, 3.250808000564575, 3.1606760025024414, 3.1939597129821777, 3.0591015815734863, 3.4791698455810547, 3.1507740020751953, 3.1635446548461914, 3.1712541580200195, 3.3454294204711914]",raw,Pre-4
1,beta,3,0.01,94,0.401418343878192,0.8333333333333334,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.1303348541259766, 3.185434579849243, 3.0999114513397217, 3.150700092315674, 3.135305643081665, 3.201270341873169, 3.1521573066711426, 3.181581735610962, 3.185960054397583, 3.1494507789611816, 3.194115161895752, 3.17126202583313, 3.1506381034851074, 3.1795599460601807, 3.1775169372558594, 3.1601269245147705, 3.2001373767852783, 3.093428611755371, 3.1409380435943604, 3.1404597759246826, 3.1868059635162354, 3.1505379676818848, 3.1494901180267334, 3.128983497619629, 3.192018747329712, 3.142948627471924, 3.163717269897461, 3.120208978652954, 3.1752445697784424, 3.1667609214782715]",raw,Pre-4
1,beta,12,0.005,94,0.4971682259104327,0.7083333333333333,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.244663953781128, 3.2005741596221924, 3.245565891265869, 3.227078914642334, 3.2470169067382812, 3.2473244667053223, 3.2027053833007812, 3.2515711784362793, 3.2035930156707764, 3.2451484203338623, 3.233279228210449, 3.1873254776000977, 3.235107660293579, 3.27036452293396, 3.2811291217803955, 3.220674753189087, 3.1871085166931152, 3.2198033332824707, 3.2386972904205322, 3.2620956897735596, 3.226311445236206, 3.289860248565674, 3.253909111022949, 3.2444441318511963, 3.2291064262390137, 3.2079038619995117, 3.233572483062744, 3.215613603591919, 3.2053935527801514, 3.300130844116211]",raw,Pre-4
1,beta,13,0.005,94,0.6930002276336275,0.3199999999999999,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.3805959224700928, 3.334433078765869, 3.3827624320983887, 3.2871944904327393, 3.380246639251709, 3.3438808917999268, 3.3933157920837402, 3.2765021324157715, 3.3147428035736084, 3.348569869995117, 3.373731851577759, 3.357844352722168, 3.3506669998168945, 3.2811639308929443, 3.365222692489624, 3.2709131240844727, 3.3825137615203857, 3.335319995880127, 3.360374689102173, 3.2981529235839844, 3.351548910140991, 3.182515859603882, 3.364238739013672, 3.3454296588897705, 3.282313346862793, 3.3012101650238037, 3.3266098499298096, 3.3084399700164795, 3.3708503246307373, 3.2704520225524902]",raw,Pre-4
1,beta,26,0.0151,94,0.5847316286121264,0.4000000000000001,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.853317975997925, 2.995310068130493, 2.8623292446136475, 2.8746585845947266, 2.7862017154693604, 2.85884952545166, 3.073378324508667, 2.9509387016296387, 2.8919262886047363, 2.8995635509490967, 2.7713687419891357, 2.8935086727142334, 2.875819206237793, 3.011333465576172, 2.8975746631622314, 3.0573227405548096, 2.792271375656128, 2.8650364875793457, 2.8374288082122803, 3.023688793182373, 3.1193294525146484, 2.7734382152557373, 2.762080192565918, 2.9149210453033447, 2.844076633453369, 2.8286476135253906, 2.8333187103271484, 2.945547580718994, 3.086031675338745, 2.79026460647583]",raw,Pre-4
1,beta,30,0.01,97,0.6303552556135085,0.2857142857142857,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.9539976119995117, 2.928480386734009, 3.004645347595215, 2.8790361881256104, 2.917717933654785, 3.017195701599121, 2.972801923751831, 2.9707207679748535, 3.0168275833129883, 2.9962265491485596, 3.035386085510254, 2.9521052837371826, 2.947911024093628, 2.894124984741211, 3.026829719543457, 2.9495689868927, 2.985987663269043, 2.9798433780670166, 2.952336549758911, 2.9455606937408447, 2.91764497756958, 3.0360000133514404, 2.9930434226989746, 3.0450878143310547, 2.9625799655914307, 3.0242509841918945, 2.990307569503784, 2.9486629962921143, 2.992729663848877, 3.0320379734039307]",raw,Pre-4
