seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,beta,1,4,0.1,raw,4,0.2083333333333333,0.5739319273129684
43,beta,1,4,0.1,raw,4,0.5833333333333333,0.4631133690427603
35,beta,1,4,0.1,raw,4,0.8095238095238095,0.4046834304781698
7,beta,1,4,0.1,raw,4,0.44,0.5604955403816653
18,beta,1,4,0.1,raw,4,0.625,0.5089417446315033
2,beta,1,4,0.1,raw,4,1.0,0.4057319896470837
10,beta,1,4,0.1,raw,4,0.52,0.4895263361387436
19,beta,1,4,0.1,raw,4,0.7916666666666667,0.3958245974965417
46,beta,1,4,0.1,raw,4,0.625,0.4742299985101436
39,beta,1,4,0.1,raw,4,0.8095238095238095,0.2732161852425971
15,beta,1,4,0.1,raw,4,0.1111111111111111,0.4790754196803757
32,beta,1,4,0.1,raw,4,0.8571428571428571,0.4336378573416383
8,beta,1,4,0.1,raw,4,0.2222222222222222,0.4606659946289534
14,beta,1,4,0.1,raw,4,0.7083333333333333,0.4794357794933556
11,beta,1,4,0.1,raw,4,0.2083333333333333,0.5978252944733716
42,beta,1,4,0.1,raw,4,0.9047619047619048,0.3645704426075985
16,beta,1,4,0.1,raw,4,0.7500000000000001,0.453461094879254
20,beta,1,4,0.1,raw,4,0.25,0.5899348409685535
31,beta,1,4,0.1,raw,4,0.75,0.4449982119642189
34,beta,1,4,0.1,raw,4,0.1666666666666666,0.5550067144279879
26,beta,1,4,0.1,raw,4,0.36,0.5939467756560046
30,beta,1,4,0.1,raw,4,0.238095238095238,0.6538127189659931
36,beta,1,4,0.1,raw,4,0.4166666666666666,0.5210780014106114
3,beta,1,4,0.1,raw,4,0.6875,0.4508573748805792
27,beta,1,4,0.1,raw,4,0.42,0.6111012485700514
38,beta,1,4,0.1,raw,4,0.2222222222222222,0.4500762384789316
23,beta,1,4,0.1,raw,4,1.0,0.434378901127923
12,beta,1,4,0.1,raw,4,0.625,0.4978977653342177
47,beta,1,4,0.1,raw,4,0.6666666666666667,0.4784780526494187
22,beta,1,4,0.1,raw,4,0.7083333333333334,0.4265079945545068
6,beta,1,4,0.1,raw,4,0.25,0.6068203268753574
9,beta,1,4,0.1,raw,4,0.76,0.4576612190036737
24,beta,1,4,0.1,raw,4,0.75,0.4563800051729962
28,beta,1,4,0.1,raw,4,0.24,0.5551595157062346
40,beta,1,4,0.1,raw,4,0.5416666666666667,0.4145759961263318
44,beta,1,4,0.1,raw,4,0.25,0.5665080011986222
21,beta,1,4,0.1,raw,4,0.2916666666666667,0.534543041109235
48,beta,1,4,0.1,raw,4,0.4523809523809524,0.5048931128153993
4,beta,1,4,0.1,raw,4,0.5,0.4655410601333896
29,beta,1,4,0.1,raw,4,0.5833333333333334,0.4204621321640404
13,beta,1,4,0.1,raw,4,0.375,0.5424974440589148
17,beta,1,4,0.1,raw,4,0.5,0.4099425712931298
33,beta,1,4,0.1,raw,4,0.625,0.3923445618870583
1,beta,1,4,0.1,raw,4,0.3333333333333333,0.5343746687235559
25,beta,1,4,0.1,raw,4,0.9166666666666669,0.3759982412454378
45,beta,1,4,0.1,raw,4,0.5,0.4484149375582789
5,beta,1,4,0.1,raw,4,0.0952380952380952,0.5762513703931952
41,beta,1,4,0.1,raw,4,0.68,0.4765095915894768
37,beta,1,4,0.1,raw,4,0.5714285714285714,0.5209107405043151
49,beta,1,4,0.1,raw,4,1.0,0.32189133611907633
