seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
0,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6784916019455693,0.4506262084532048
1,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6738744349702075,0.4505629124771158
48,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.5730487422323136,0.4841154387495401
4,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6767473229563394,0.4430321817882701
15,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6947241063993506,0.4403038098768456
2,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6983027387233913,0.4212774530684912
8,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6990250416472958,0.4401866470636296
3,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6683987209445333,0.4537780101264572
12,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.736087490632603,0.4088792813437589
16,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7129991473979671,0.4192517100488662
24,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6870068110278954,0.434873291010074
36,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6752628366247756,0.4411635617863992
20,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6867735207309329,0.4287816295690214
28,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7198922822009578,0.4337781737299359
40,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6943538416437239,0.4277610596297769
32,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6237791103053968,0.4615626379437715
44,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6666824410089941,0.4428220172847312
6,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7022633789245084,0.4365155861509039
5,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7322601185383716,0.40272925713115
14,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6225812264204067,0.4674626793473909
9,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7134656129755004,0.4257475463406726
11,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7022312952916459,0.4316303372775355
21,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6576229105211405,0.4477014542103373
19,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6888553262426982,0.426055260078435
35,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7421353324330207,0.4113569034025889
7,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7646985505705153,0.3992345168551756
22,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6563441186110357,0.4497982433816542
17,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6515037722908092,0.4577939768614541
34,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.710979594558549,0.4250294058107427
23,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6932507356005235,0.4289125563639077
46,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7133211622051164,0.4305448475227387
13,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6977284853329715,0.4401579227761037
25,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6292455489970247,0.4581861006622114
27,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6007500533475963,0.4740181996889572
18,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7344716041655693,0.4224712079581421
26,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6767123709041133,0.4408623712070448
39,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7070654118657411,0.4229475445429084
33,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6723764808247082,0.4410817633097069
30,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.674211722263868,0.4493899309492443
31,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7359114304902767,0.4092182514527012
42,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7078381198076482,0.4323861428705576
38,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.660119767921254,0.442070200024225
29,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7255973935219219,0.4239745875842607
37,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7267683785959805,0.4175379306443474
10,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6940437408557899,0.4261884055004243
43,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6636566714775454,0.457161192068618
49,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6788622926277539,0.44457828494134
45,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7093720076484131,0.4345061522707823
41,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.6627445811566238,0.4510628044103076
47,beta,1,max,1.0,1.0,raw,none,,max,286.0,5,0.7442501009555385,0.39989995897487957
