seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
0,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7274228538000294,0.2899298542582748
28,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6932724127557159,0.301526076335803
14,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7159272038979153,0.2781527901813479
12,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6900982979060735,0.296166842756736
40,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.666069380733945,0.3024478048227264
42,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7692113451607123,0.2656526130460518
6,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6997798639782091,0.2910112726282913
1,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6562577382736645,0.3051142882381635
29,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7000187656274568,0.2945958792610626
13,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7384241395277049,0.2729692946473896
15,beta,54,none,1.0,1.0,pca,none,,54,31.0,10,0.7812083995362218,0.2368254984260564
41,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.7185776531887016,0.2815200251169619
43,beta,54,none,1.0,1.0,pca,none,,54,31.0,10,0.7420144357698888,0.2517154962860981
2,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.7884874470724093,0.2230629218720914
24,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6899825214479178,0.2938604263974056
4,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6907528704262307,0.2908190248767024
44,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6902806161689412,0.2774568112375474
34,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.6891561495831975,0.2960534523790816
36,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6722922606125599,0.2985482744274062
46,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7128870443038469,0.2834167464038483
26,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6888064133016627,0.2916658932244172
38,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.6779011069668509,0.302649996904127
30,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.670273181661496,0.2861141420073188
48,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6945718750787689,0.2955900164907903
8,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6849606918238994,0.2787773128137853
18,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6955302304114744,0.2800127604889193
32,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6856514344868383,0.2829083849186826
20,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.7538812954004738,0.2428781368030473
10,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7248453682393556,0.2797186541121916
16,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6869256753002878,0.288040079895936
22,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7270786869250071,0.2963968366375932
7,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7182954545454545,0.2705221757621688
21,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6431220969356772,0.2857689219840514
11,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6693974896045469,0.2921248169842507
23,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.7250946363053987,0.2636472196001201
35,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.7318815511813748,0.2537314326676388
5,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6497126596078866,0.2945476709538934
37,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.7015392612833925,0.2844660649843925
47,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6998819411983268,0.2954203201941439
9,beta,54,none,1.0,1.0,pca,none,,54,30.0,10,0.706422351233672,0.2899629255347671
19,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7074517565561602,0.2767578975701588
25,beta,54,none,1.0,1.0,pca,none,,54,31.0,10,0.7674162004575487,0.2561520656827056
3,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6595216643912469,0.3021575107703998
45,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6766594910466829,0.296627820160292
39,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7425067173167794,0.2893800408972705
27,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6983415454873212,0.2758383391945056
31,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.7494705429341548,0.2745093455122144
49,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6639155823256243,0.2854568777972008
33,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.648530282593677,0.3092287507832577
17,beta,54,none,1.0,1.0,pca,none,,54,29.0,10,0.6963516632858013,0.2812598147269217
