embedding_type,lambda,auc,dims
pca,0.005,0.8432,30
pca,0.01,0.8412,30
pca,0.015,0.8401,30
pca,0.02,0.839,0
pca,0.03,0.8385,0
pca,0.04,0.8384,0
pca,0.05,0.8383,0
sae,0.005,0.8065,30
sae,0.01,0.8119,30
sae,0.015,0.8166,30
sae,0.02,0.8181,0
sae,0.03,0.8181,0
sae,0.04,0.8184,0
sae,0.05,0.8185,0
raw,0.005,0.8138,30
raw,0.01,0.8123,30
raw,0.015,0.8104,30
raw,0.02,0.8102,0
raw,0.03,0.8098,0
raw,0.04,0.8097,0
raw,0.05,0.8096,0
pca,0.016,0.8397,0
pca,0.017,0.8394,0
pca,0.018,0.8393,0
pca,0.019,0.8391,0
sae,0.016,0.8173,0
sae,0.017,0.8176,0
sae,0.018,0.8179,0
sae,0.019,0.818,0
raw,0.016,0.8104,0
raw,0.017,0.8104,0
raw,0.018,0.8103,0
raw,0.019,0.8103,0
pca,0.0152,0.8401,30
pca,0.0154,0.8399,30
pca,0.0156,0.8398,30
pca,0.0158,0.8397,15
sae,0.0152,0.8168,30
sae,0.0154,0.817,30
sae,0.0156,0.8171,30
sae,0.0158,0.8173,27
raw,0.0152,0.8104,2
raw,0.0154,0.8105,0
raw,0.0156,0.8105,0
raw,0.0158,0.8104,0
pca,0.0151,0.8401,30
pca,0.0153,0.84,30
pca,0.0155,0.8399,30
sae,0.0159,0.8173,10
sae,0.0161,0.8173,0
sae,0.0162,0.8175,0
raw,0.0151,0.8104,15
raw,0.0153,0.8105,0
